Indiana, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197602,37.5,8.1
197702,27.3,-2.1
197802,15.3,-14.1
197902,17.6,-11.8
198002,22.8,-6.6
198102,31.1,1.7
198202,25.3,-4.1
198302,33.8,4.4
198402,36.0,6.6
198502,24.7,-4.7
198602,30.3,0.9
198702,33.8,4.4
198802,26.8,-2.6
198902,26.2,-3.2
199002,36.6,7.2
199102,34.2,4.8
199202,37.0,7.6
199302,26.4,-3.0
199402,27.9,-1.5
199502,29.3,-0.1
199602,30.4,1.0
199702,34.7,5.3
199802,39.4,10.0
199902,36.4,7.0
200002,36.7,7.3
200102,33.5,4.1
200202,35.2,5.8
200302,25.7,-3.7
200402,29.9,0.5
200502,34.8,5.4
200602,31.7,2.3
200702,20.2,-9.2
200802,28.2,-1.2
200902,32.2,2.8
201002,25.7,-3.7
201102,31.2,1.8
201202,35.4,6.0
201302,30.2,0.8
201402,22.0,-7.4
201502,19.3,-10.1
201602,33.9,4.5
201702,41.3,11.9
201802,35.1,5.7
201902,32.3,2.9
202002,32.8,3.4
202102,23.7,-5.7
202202,29.8,0.4
