Colorado, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197605,51.7,-0.1
197705,53.6,1.8
197805,49.9,-1.9
197905,50.2,-1.6
198005,49.7,-2.1
198105,50.8,-1.0
198205,50.6,-1.2
198305,48.0,-3.8
198405,54.2,2.4
198505,53.7,1.9
198605,51.5,-0.3
198705,53.0,1.2
198805,52.4,0.6
198905,54.2,2.4
199005,50.5,-1.3
199105,53.5,1.7
199205,54.6,2.8
199305,52.6,0.8
199405,55.3,3.5
199505,47.2,-4.6
199605,55.5,3.7
199705,52.6,0.8
199805,54.4,2.6
199905,50.4,-1.4
200005,56.1,4.3
200105,53.9,2.1
200205,53.4,1.6
200305,53.8,2.0
200405,54.8,3.0
200505,53.2,1.4
200605,55.6,3.8
200705,53.5,1.7
200805,51.0,-0.8
200905,54.5,2.7
201005,50.1,-1.7
201105,49.3,-2.5
201205,55.4,3.6
201305,52.8,1.0
201405,52.4,0.6
201505,49.8,-2.0
201605,50.8,-1.0
201705,51.5,-0.3
201805,57.2,5.4
201905,47.9,-3.9
202005,55.6,3.8
202105,52.8,1.0
