Virginia, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197607,73.0,-1.7
197707,76.8,2.1
197807,73.3,-1.4
197907,72.6,-2.1
198007,76.2,1.5
198107,74.8,0.1
198207,74.7,0.0
198307,75.5,0.8
198407,72.3,-2.4
198507,73.7,-1.0
198607,77.4,2.7
198707,77.4,2.7
198807,76.0,1.3
198907,74.6,-0.1
199007,75.6,0.9
199107,76.9,2.2
199207,75.6,0.9
199307,78.2,3.5
199407,76.0,1.3
199507,76.3,1.6
199607,73.3,-1.4
199707,75.3,0.6
199807,75.3,0.6
199907,77.6,2.9
200007,72.3,-2.4
200107,71.9,-2.8
200207,76.6,1.9
200307,74.5,-0.2
200407,74.6,-0.1
200507,77.1,2.4
200607,75.9,1.2
200707,73.8,-0.9
200807,74.6,-0.1
200907,71.9,-2.8
201007,77.9,3.2
201107,77.8,3.1
201207,78.7,4.0
201307,75.6,0.9
201407,73.4,-1.3
201507,75.3,0.6
201607,77.3,2.6
201707,76.8,2.1
201807,75.1,0.4
201907,77.1,2.4
202007,78.7,4.0
202107,75.9,1.2
