Alabama, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197605,65.4,-5.3
197705,71.9,1.2
197805,70.0,-0.7
197905,69.5,-1.2
198005,70.2,-0.5
198105,67.3,-3.4
198205,71.7,1.0
198305,68.6,-2.1
198405,68.8,-1.9
198505,70.6,-0.1
198605,71.4,0.7
198705,73.4,2.7
198805,68.3,-2.4
198905,68.6,-2.1
199005,69.4,-1.3
199105,73.2,2.5
199205,68.0,-2.7
199305,68.8,-1.9
199405,68.4,-2.3
199505,72.1,1.4
199605,73.0,2.3
199705,67.2,-3.5
199805,73.6,2.9
199905,69.5,-1.2
200005,74.0,3.3
200105,70.6,-0.1
200205,70.2,-0.5
200305,71.6,0.9
200405,72.7,2.0
200505,68.3,-2.4
200605,70.4,-0.3
200705,71.2,0.5
200805,70.3,-0.4
200905,71.2,0.5
201005,73.3,2.6
201105,69.9,-0.8
201205,73.4,2.7
201305,68.2,-2.5
201405,70.2,-0.5
201505,71.8,1.1
201605,70.2,-0.5
201705,69.9,-0.8
201805,74.4,3.7
201905,74.2,3.5
202005,68.9,-1.8
202105,69.4,-1.3
