Oklahoma, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197602,50.5,9.3
197702,44.8,3.6
197802,29.0,-12.2
197902,32.8,-8.4
198002,37.8,-3.4
198102,43.0,1.8
198202,36.7,-4.5
198302,41.0,-0.2
198402,44.7,3.5
198502,36.4,-4.8
198602,43.9,2.7
198702,44.8,3.6
198802,39.6,-1.6
198902,32.5,-8.7
199002,44.7,3.5
199102,47.1,5.9
199202,47.8,6.6
199302,38.5,-2.7
199402,38.2,-3.0
199502,45.1,3.9
199602,43.4,2.2
199702,42.7,1.5
199802,44.8,3.6
199902,49.2,8.0
200002,48.0,6.8
200102,41.2,0.0
200202,41.2,0.0
200302,38.3,-2.9
200402,39.1,-2.1
200502,45.3,4.1
200602,41.0,-0.2
200702,39.3,-1.9
200802,41.2,0.0
200902,47.2,6.0
201002,35.7,-5.5
201102,39.4,-1.8
201202,43.8,2.6
201302,41.1,-0.1
201402,36.1,-5.1
201502,37.8,-3.4
201602,47.4,6.2
201702,50.5,9.3
201802,41.0,-0.2
201902,40.3,-0.9
202002,41.8,0.6
202102,31.3,-9.9
202202,38.6,-2.6
