Colorado, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197603,32.3,-1.4
197703,32.3,-1.4
197803,37.4,3.7
197903,33.9,0.2
198003,31.3,-2.4
198103,34.9,1.2
198203,35.6,1.9
198303,34.0,0.3
198403,31.8,-1.9
198503,35.6,1.9
198603,40.8,7.1
198703,32.4,-1.3
198803,32.7,-1.0
198903,39.1,5.4
199003,36.6,2.9
199103,34.9,1.2
199203,38.1,4.4
199303,36.1,2.4
199403,38.3,4.6
199503,36.2,2.5
199603,33.8,0.1
199703,38.3,4.6
199803,33.7,0.0
199903,39.3,5.6
200003,36.6,2.9
200103,36.0,2.3
200203,32.0,-1.7
200303,36.6,2.9
200403,41.8,8.1
200503,35.2,1.5
200603,34.9,1.2
200703,40.5,6.8
200803,33.9,0.2
200903,37.1,3.4
201003,35.2,1.5
201103,37.7,4.0
201203,41.9,8.2
201303,35.0,1.3
201403,36.3,2.6
201503,40.6,6.9
201603,37.9,4.2
201703,42.5,8.8
201803,37.8,4.1
201903,33.8,0.1
202003,38.8,5.1
202103,35.7,2.0
202203,35.0,1.3
