Maine, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197601,9.3,-3.9
197701,8.5,-4.7
197801,12.9,-0.3
197901,16.8,3.6
198001,16.3,3.1
198101,7.0,-6.2
198201,5.4,-7.8
198301,17.6,4.4
198401,10.9,-2.3
198501,8.9,-4.3
198601,16.3,3.1
198701,13.0,-0.2
198801,14.0,0.8
198901,16.7,3.5
199001,22.0,8.8
199101,12.2,-1.0
199201,14.2,1.0
199301,15.1,1.9
199401,4.2,-9.0
199501,19.8,6.6
199601,13.7,0.5
199701,13.8,0.6
199801,17.8,4.6
199901,14.3,1.1
200001,14.1,0.9
200101,14.0,0.8
200201,21.0,7.8
200301,9.2,-4.0
200401,6.4,-6.8
200501,11.5,-1.7
200601,22.6,9.4
200701,17.3,4.1
200801,18.6,5.4
200901,7.9,-5.3
201001,20.3,7.1
201101,15.9,2.7
201201,18.2,5.0
201301,15.8,2.6
201401,14.2,1.0
201501,11.7,-1.5
201601,20.1,6.9
201701,21.5,8.3
201801,15.0,1.8
201901,14.1,0.9
202001,20.8,7.6
202101,21.5,8.3
202201,10.8,-2.4
