Utah, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197603,33.3,-4.0
197703,33.8,-3.5
197803,42.2,4.9
197903,36.2,-1.1
198003,35.2,-2.1
198103,38.4,1.1
198203,37.6,0.3
198303,38.7,1.4
198403,35.3,-2.0
198503,35.8,-1.5
198603,44.2,6.9
198703,36.5,-0.8
198803,36.6,-0.7
198903,42.8,5.5
199003,41.5,4.2
199103,36.2,-1.1
199203,42.0,4.7
199303,40.4,3.1
199403,42.4,5.1
199503,39.6,2.3
199603,40.0,2.7
199703,41.6,4.3
199803,38.1,0.8
199903,41.9,4.6
200003,38.8,1.5
200103,41.4,4.1
200203,36.0,-1.3
200303,40.3,3.0
200403,45.6,8.3
200503,39.0,1.7
200603,36.3,-1.0
200703,43.0,5.7
200803,37.2,-0.1
200903,39.2,1.9
201003,38.0,0.7
201103,39.4,2.1
201203,42.6,5.3
201303,41.0,3.7
201403,41.0,3.7
201503,44.9,7.6
201603,42.2,4.9
201703,45.3,8.0
201803,39.2,1.9
201903,38.2,0.9
202003,40.8,3.5
202103,38.4,1.1
202203,40.0,2.7
