Massachusetts, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197607,68.4,-1.3
197707,69.8,0.1
197807,68.6,-1.1
197907,71.4,1.7
198007,71.2,1.5
198107,70.8,1.1
198207,70.0,0.3
198307,71.4,1.7
198407,69.5,-0.2
198507,69.8,0.1
198607,68.4,-1.3
198707,70.6,0.9
198807,71.9,2.2
198907,69.6,-0.1
199007,70.4,0.7
199107,69.9,0.2
199207,66.8,-2.9
199307,70.8,1.1
199407,73.8,4.1
199507,72.6,2.9
199607,68.8,-0.9
199707,69.7,0.0
199807,70.4,0.7
199907,73.0,3.3
200007,67.0,-2.7
200107,67.2,-2.5
200207,71.4,1.7
200307,71.0,1.3
200407,69.0,-0.7
200507,71.4,1.7
200607,73.3,3.6
200707,70.1,0.4
200807,72.4,2.7
200907,67.6,-2.1
201007,74.1,4.4
201107,72.8,3.1
201207,73.0,3.3
201307,75.0,5.3
201407,71.2,1.5
201507,71.0,1.3
201607,72.6,2.9
201707,70.0,0.3
201807,73.3,3.6
201907,73.8,4.1
202007,74.6,4.9
202107,69.8,0.1
