Mississippi, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197602,54.3,6.0
197702,46.7,-1.6
197802,38.0,-10.3
197902,43.2,-5.1
198002,43.2,-5.1
198102,47.6,-0.7
198202,46.2,-2.1
198302,47.1,-1.2
198402,49.1,0.8
198502,44.3,-4.0
198602,52.2,3.9
198702,49.4,1.1
198802,45.9,-2.4
198902,46.5,-1.8
199002,54.9,6.6
199102,50.4,2.1
199202,52.1,3.8
199302,47.0,-1.3
199402,49.4,1.1
199502,48.3,0.0
199602,48.2,-0.1
199702,50.9,2.6
199802,49.9,1.6
199902,53.3,5.0
200002,53.2,4.9
200102,52.5,4.2
200202,46.0,-2.3
200302,46.7,-1.6
200402,45.4,-2.9
200502,51.6,3.3
200602,46.0,-2.3
200702,46.0,-2.3
200802,50.1,1.8
200902,50.6,2.3
201002,40.7,-7.6
201102,49.8,1.5
201202,52.2,3.9
201302,49.0,0.7
201402,46.3,-2.0
201502,41.9,-6.4
201602,50.9,2.6
201702,57.1,8.8
201802,56.9,8.6
201902,55.0,6.7
202002,51.1,2.8
202102,44.3,-4.0
202202,48.8,0.5
