Nevada, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197612,31.4,0.2
197712,36.8,5.6
197812,26.4,-4.8
197912,34.4,3.2
198012,36.8,5.6
198112,36.8,5.6
198212,31.1,-0.1
198312,33.1,1.9
198412,27.4,-3.8
198512,30.4,-0.8
198612,32.6,1.4
198712,29.1,-2.1
198812,29.1,-2.1
198912,33.8,2.6
199012,23.3,-7.9
199112,31.9,0.7
199212,26.9,-4.3
199312,31.3,0.1
199412,31.8,0.6
199512,35.1,3.9
199612,34.2,3.0
199712,29.7,-1.5
199812,30.4,-0.8
199912,32.5,1.3
200012,34.6,3.4
200112,30.6,-0.6
200212,33.5,2.3
200312,33.3,2.1
200412,33.5,2.3
200512,33.9,2.7
200612,31.1,-0.1
200712,29.2,-2.0
200812,30.0,-1.2
200912,26.0,-5.2
201012,35.6,4.4
201112,30.9,-0.3
201212,31.3,0.1
201312,28.4,-2.8
201412,35.6,4.4
201512,30.8,-0.4
201612,30.5,-0.7
201712,34.8,3.6
201812,32.0,0.8
201912,33.2,2.0
202012,32.4,1.2
202112,32.4,1.2
