South Carolina, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197612,42.7,-2.9
197712,44.8,-0.8
197812,47.2,1.6
197912,45.5,-0.1
198012,44.4,-1.2
198112,42.1,-3.5
198212,51.3,5.7
198312,43.8,-1.8
198412,53.2,7.6
198512,43.1,-2.5
198612,46.6,1.0
198712,48.3,2.7
198812,45.1,-0.5
198912,38.6,-7.0
199012,50.8,5.2
199112,49.7,4.1
199212,45.4,-0.2
199312,44.1,-1.5
199412,49.8,4.2
199512,43.1,-2.5
199612,48.0,2.4
199712,45.6,0.0
199812,51.6,6.0
199912,46.7,1.1
200012,38.6,-7.0
200112,52.0,6.4
200212,44.2,-1.4
200312,43.0,-2.6
200412,45.6,0.0
200512,44.2,-1.4
200612,51.0,5.4
200712,52.1,6.5
200812,51.0,5.4
200912,44.9,-0.7
201012,38.3,-7.3
201112,50.7,5.1
201212,51.5,5.9
201312,49.9,4.3
201412,49.2,3.6
201512,58.5,12.9
201612,49.0,3.4
201712,47.8,2.2
201812,48.6,3.0
201912,50.3,4.7
202012,45.6,0.0
202112,54.6,9.0
