Louisiana, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197610,60.1,-7.4
197710,66.0,-1.5
197810,66.3,-1.2
197910,68.1,0.6
198010,63.8,-3.7
198110,67.0,-0.5
198210,66.6,-0.9
198310,67.5,0.0
198410,71.2,3.7
198510,69.9,2.4
198610,67.3,-0.2
198710,62.9,-4.6
198810,64.9,-2.6
198910,66.4,-1.1
199010,65.3,-2.2
199110,69.0,1.5
199210,66.9,-0.6
199310,66.5,-1.0
199410,67.7,0.2
199510,67.0,-0.5
199610,67.0,-0.5
199710,67.1,-0.4
199810,70.0,2.5
199910,66.7,-0.8
200010,67.5,0.0
200110,64.4,-3.1
200210,69.4,1.9
200310,67.8,0.3
200410,73.9,6.4
200510,67.2,-0.3
200610,68.0,0.5
200710,69.1,1.6
200810,65.9,-1.6
200910,66.7,-0.8
201010,68.3,0.8
201110,65.5,-2.0
201210,65.8,-1.7
201310,68.6,1.1
201410,69.0,1.5
201510,69.7,2.2
201610,71.4,3.9
201710,69.2,1.7
201810,70.7,3.2
201910,69.1,1.6
202010,68.2,0.7
202110,71.6,4.1
