California, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197601,44.4,2.1
197701,41.3,-1.0
197801,45.4,3.1
197901,40.1,-2.2
198001,45.9,3.6
198101,46.7,4.4
198201,40.4,-1.9
198301,44.2,1.9
198401,45.4,3.1
198501,41.7,-0.6
198601,48.8,6.5
198701,41.4,-0.9
198801,42.7,0.4
198901,40.9,-1.4
199001,43.1,0.8
199101,43.6,1.3
199201,43.2,0.9
199301,41.3,-1.0
199401,45.7,3.4
199501,44.7,2.4
199601,45.6,3.3
199701,44.5,2.2
199801,45.1,2.8
199901,45.0,2.7
200001,45.8,3.5
200101,42.3,0.0
200201,42.4,0.1
200301,50.0,7.7
200401,43.5,1.2
200501,44.1,1.8
200601,44.6,2.3
200701,41.5,-0.8
200801,41.1,-1.2
200901,46.9,4.6
201001,45.2,2.9
201101,45.2,2.9
201201,46.5,4.2
201301,42.1,-0.2
201401,50.1,7.8
201501,48.6,6.3
201601,44.5,2.2
201701,42.2,-0.1
201801,48.9,6.6
201901,46.1,3.8
202001,45.3,3.0
202101,45.5,3.2
202201,46.6,4.3
