Colorado, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197611,32.9,-0.6
197711,35.3,1.8
197811,33.9,0.4
197911,27.2,-6.3
198011,34.9,1.4
198111,38.2,4.7
198211,31.9,-1.6
198311,33.8,0.3
198411,34.7,1.2
198511,30.3,-3.2
198611,34.1,0.6
198711,34.2,0.7
198811,34.5,1.0
198911,36.6,3.1
199011,36.6,3.1
199111,30.5,-3.0
199211,28.4,-5.1
199311,29.2,-4.3
199411,32.1,-1.4
199511,38.0,4.5
199611,34.6,1.1
199711,32.2,-1.3
199811,37.6,4.1
199911,41.2,7.7
200011,27.2,-6.3
200111,37.9,4.4
200211,33.7,0.2
200311,33.0,-0.5
200411,33.8,0.3
200511,37.5,4.0
200611,36.5,3.0
200711,38.0,4.5
200811,38.3,4.8
200911,37.8,4.3
201011,33.6,0.1
201111,34.9,1.4
201211,39.4,5.9
201311,35.2,1.7
201411,33.4,-0.1
201511,34.6,1.1
201611,40.2,6.7
201711,41.3,7.8
201811,32.5,-1.0
201911,35.2,1.7
202011,38.5,5.0
202111,40.7,7.2
