Wyoming, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197601,19.5,1.1
197701,16.0,-2.4
197801,16.7,-1.7
197901,4.6,-13.8
198001,16.2,-2.2
198101,27.8,9.4
198201,17.0,-1.4
198301,26.2,7.8
198401,18.0,-0.4
198501,14.2,-4.2
198601,25.2,6.8
198701,19.8,1.4
198801,16.7,-1.7
198901,21.0,2.6
199001,24.0,5.6
199101,16.9,-1.5
199201,22.5,4.1
199301,16.3,-2.1
199401,23.5,5.1
199501,22.3,3.9
199601,17.4,-1.0
199701,18.8,0.4
199801,22.7,4.3
199901,24.6,6.2
200001,24.0,5.6
200101,20.9,2.5
200201,20.2,1.8
200301,28.0,9.6
200401,20.8,2.4
200501,24.6,6.2
200601,26.9,8.5
200701,16.5,-1.9
200801,16.2,-2.2
200901,23.4,5.0
201001,22.2,3.8
201101,20.3,1.9
201201,25.1,6.7
201301,19.9,1.5
201401,23.3,4.9
201501,25.6,7.2
201601,22.7,4.3
201701,16.7,-1.7
201801,25.1,6.7
201901,22.0,3.6
202001,23.8,5.4
202101,23.3,4.9
202201,22.9,4.5
