Ohio, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197609,60.9,-3.6
197709,66.6,2.1
197809,67.9,3.4
197909,63.8,-0.7
198009,66.2,1.7
198109,62.5,-2.0
198209,62.8,-1.7
198309,65.3,0.8
198409,62.1,-2.4
198509,65.2,0.7
198609,66.8,2.3
198709,65.1,0.6
198809,63.4,-1.1
198909,63.1,-1.4
199009,64.3,-0.2
199109,64.1,-0.4
199209,62.8,-1.7
199309,62.2,-2.3
199409,63.1,-1.4
199509,62.0,-2.5
199609,63.5,-1.0
199709,62.9,-1.6
199809,68.0,3.5
199909,64.7,0.2
200009,63.2,-1.3
200109,62.3,-2.2
200209,68.3,3.8
200309,62.8,-1.7
200409,66.1,1.6
200509,67.7,3.2
200609,61.9,-2.6
200709,67.4,2.9
200809,67.0,2.5
200909,64.6,0.1
201009,65.9,1.4
201109,64.2,-0.3
201209,63.3,-1.2
201309,64.5,0.0
201409,64.0,-0.5
201509,68.4,3.9
201609,69.2,4.7
201709,65.8,1.3
201809,69.6,5.1
201909,69.8,5.3
202009,64.7,0.2
202109,66.9,2.4
