Nebraska, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197612,27.1,1.8
197712,24.8,-0.5
197812,18.5,-6.8
197912,32.1,6.8
198012,30.4,5.1
198112,26.0,0.7
198212,28.5,3.2
198312,7.9,-17.4
198412,25.0,-0.3
198512,19.1,-6.2
198612,29.5,4.2
198712,28.4,3.1
198812,30.5,5.2
198912,19.5,-5.8
199012,20.9,-4.4
199112,31.5,6.2
199212,22.8,-2.5
199312,29.9,4.6
199412,29.0,3.7
199512,27.7,2.4
199612,22.8,-2.5
199712,29.4,4.1
199812,29.3,4.0
199912,32.5,7.2
200012,18.7,-6.6
200112,30.3,5.0
200212,31.8,6.5
200312,30.5,5.2
200412,30.8,5.5
200512,25.0,-0.3
200612,30.2,4.9
200712,22.0,-3.3
200812,21.3,-4.0
200912,18.6,-6.7
201012,26.1,0.8
201112,28.6,3.3
201212,27.6,2.3
201312,22.8,-2.5
201412,28.0,2.7
201512,29.7,4.4
201612,23.8,-1.5
201712,26.6,1.3
201812,28.1,2.8
201912,30.2,4.9
202012,31.3,6.0
202112,33.7,8.4
