Arkansas, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197601,38.3,-1.0
197701,27.5,-11.8
197801,29.4,-9.9
197901,27.6,-11.7
198001,40.5,1.2
198101,38.0,-1.3
198201,35.3,-4.0
198301,38.2,-1.1
198401,34.0,-5.3
198501,32.0,-7.3
198601,41.3,2.0
198701,38.5,-0.8
198801,34.8,-4.5
198901,44.3,5.0
199001,45.6,6.3
199101,37.2,-2.1
199201,40.8,1.5
199301,39.4,0.1
199401,36.6,-2.7
199501,41.1,1.8
199601,38.2,-1.1
199701,38.6,-0.7
199801,44.3,5.0
199901,42.6,3.3
200001,41.8,2.5
200101,37.0,-2.3
200201,42.5,3.2
200301,36.8,-2.5
200401,41.0,1.7
200501,44.7,5.4
200601,47.5,8.2
200701,39.9,0.6
200801,39.0,-0.3
200901,38.4,-0.9
201001,36.5,-2.8
201101,37.6,-1.7
201201,44.6,5.3
201301,42.1,2.8
201401,35.2,-4.1
201501,38.6,-0.7
201601,39.5,0.2
201701,45.2,5.9
201801,35.7,-3.6
201901,40.8,1.5
202001,43.9,4.6
202101,41.3,2.0
202201,38.6,-0.7
