North Dakota, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197609,59.1,2.8
197709,55.5,-0.8
197809,61.2,4.9
197909,59.7,3.4
198009,55.7,-0.6
198109,57.4,1.1
198209,56.0,-0.3
198309,55.8,-0.5
198409,51.3,-5.0
198509,51.8,-4.5
198609,52.9,-3.4
198709,58.2,1.9
198809,55.6,-0.7
198909,57.2,0.9
199009,60.6,4.3
199109,56.7,0.4
199209,54.9,-1.4
199309,52.2,-4.1
199409,59.9,3.6
199509,56.1,-0.2
199609,56.1,-0.2
199709,60.4,4.1
199809,62.4,6.1
199909,53.6,-2.7
200009,57.0,0.7
200109,58.3,2.0
200209,59.2,2.9
200309,56.8,0.5
200409,59.0,2.7
200509,59.7,3.4
200609,55.7,-0.6
200709,58.1,1.8
200809,56.7,0.4
200909,63.3,7.0
201009,54.6,-1.7
201109,58.3,2.0
201209,58.2,1.9
201309,62.0,5.7
201409,57.8,1.5
201509,62.0,5.7
201609,58.6,2.3
201709,58.3,2.0
201809,55.0,-1.3
201909,58.3,2.0
202009,57.1,0.8
202109,62.3,6.0
