Washington, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197602,33.6,0.5
197702,37.3,4.2
197802,36.0,2.9
197902,31.3,-1.8
198002,33.9,0.8
198102,35.7,2.6
198202,32.9,-0.2
198302,37.9,4.8
198402,35.8,2.7
198502,28.6,-4.5
198602,33.4,0.3
198702,36.9,3.8
198802,36.2,3.1
198902,25.6,-7.5
199002,31.8,-1.3
199102,40.4,7.3
199202,39.6,6.5
199302,29.8,-3.3
199402,31.7,-1.4
199502,37.8,4.7
199602,32.0,-1.1
199702,34.0,0.9
199802,37.7,4.6
199902,35.0,1.9
200002,35.2,2.1
200102,32.1,-1.0
200202,34.3,1.2
200302,35.4,2.3
200402,35.1,2.0
200502,35.8,2.7
200602,32.8,-0.3
200702,35.6,2.5
200802,35.4,2.3
200902,33.1,0.0
201002,38.5,5.4
201102,31.1,-2.0
201202,34.5,1.4
201302,35.5,2.4
201402,29.8,-3.3
201502,40.7,7.6
201602,39.1,6.0
201702,31.0,-2.1
201802,32.4,-0.7
201902,25.3,-7.8
202002,35.6,2.5
202102,31.3,-1.8
202202,33.7,0.6
