South Carolina, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197608,76.5,-2.2
197708,78.9,0.2
197808,79.5,0.8
197908,78.9,0.2
198008,81.2,2.5
198108,76.4,-2.3
198208,77.7,-1.0
198308,81.2,2.5
198408,78.4,-0.3
198508,77.2,-1.5
198608,78.1,-0.6
198708,81.6,2.9
198808,80.6,1.9
198908,77.9,-0.8
199008,79.9,1.2
199108,78.4,-0.3
199208,77.0,-1.7
199308,79.8,1.1
199408,76.9,-1.8
199508,80.1,1.4
199608,77.5,-1.2
199708,77.4,-1.3
199808,79.4,0.7
199908,82.2,3.5
200008,78.8,0.1
200108,79.9,1.2
200208,79.6,0.9
200308,79.7,1.0
200408,77.0,-1.7
200508,80.5,1.8
200608,81.1,2.4
200708,84.0,5.3
200808,79.1,0.4
200908,80.0,1.3
201008,81.6,2.9
201108,81.4,2.7
201208,78.0,-0.7
201308,77.4,-1.3
201408,78.3,-0.4
201508,79.5,0.8
201608,81.9,3.2
201708,79.4,0.7
201808,80.0,1.3
201908,80.3,1.6
202008,80.1,1.4
202108,80.1,1.4
