North Carolina, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197610,54.4,-5.2
197710,56.5,-3.1
197810,57.6,-2.0
197910,58.2,-1.4
198010,57.0,-2.6
198110,56.6,-3.0
198210,58.4,-1.2
198310,60.0,0.4
198410,65.6,6.0
198510,64.0,4.4
198610,61.7,2.1
198710,53.7,-5.9
198810,53.6,-6.0
198910,59.8,0.2
199010,62.0,2.4
199110,59.8,0.2
199210,56.8,-2.8
199310,58.9,-0.7
199410,58.1,-1.5
199510,61.4,1.8
199610,59.4,-0.2
199710,59.3,-0.3
199810,61.0,1.4
199910,58.7,-0.9
200010,59.7,0.1
200110,57.7,-1.9
200210,62.1,2.5
200310,58.9,-0.7
200410,61.6,2.0
200510,61.7,2.1
200610,57.7,-1.9
200710,65.4,5.8
200810,57.8,-1.8
200910,58.9,-0.7
201010,60.9,1.3
201110,58.2,-1.4
201210,59.5,-0.1
201310,60.7,1.1
201410,61.4,1.8
201510,60.0,0.4
201610,63.2,3.6
201710,62.8,3.2
201810,62.5,2.9
201910,64.6,5.0
202010,63.0,3.4
202110,64.4,4.8
