New York, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197603,33.8,3.2
197703,36.6,6.0
197803,26.5,-4.1
197903,35.4,4.8
198003,29.3,-1.3
198103,31.8,1.2
198203,29.7,-0.9
198303,34.4,3.8
198403,24.2,-6.4
198503,33.0,2.4
198603,33.9,3.3
198703,34.6,4.0
198803,31.3,0.7
198903,30.3,-0.3
199003,34.5,3.9
199103,34.7,4.1
199203,27.5,-3.1
199303,27.6,-3.0
199403,29.1,-1.5
199503,35.3,4.7
199603,27.8,-2.8
199703,30.1,-0.5
199803,34.8,4.2
199903,30.1,-0.5
200003,37.9,7.3
200103,28.0,-2.6
200203,33.2,2.6
200303,31.7,1.1
200403,34.8,4.2
200503,27.6,-3.0
200603,31.7,1.1
200703,30.2,-0.4
200803,29.3,-1.3
200903,33.1,2.5
201003,38.2,7.6
201103,30.9,0.3
201203,43.3,12.7
201303,30.6,0.0
201403,23.6,-7.0
201503,25.5,-5.1
201603,37.7,7.1
201703,28.2,-2.4
201803,29.9,-0.7
201903,29.5,-1.1
202003,37.2,6.6
202103,35.1,4.5
202203,33.6,3.0
