Kentucky, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197609,64.6,-4.0
197709,70.5,1.9
197809,71.1,2.5
197909,66.7,-1.9
198009,71.1,2.5
198109,65.6,-3.0
198209,65.7,-2.9
198309,69.0,0.4
198409,66.0,-2.6
198509,67.3,-1.3
198609,70.8,2.2
198709,68.5,-0.1
198809,67.7,-0.9
198909,66.9,-1.7
199009,69.0,0.4
199109,68.7,0.1
199209,67.0,-1.6
199309,66.5,-2.1
199409,65.4,-3.2
199509,66.5,-2.1
199609,66.2,-2.4
199709,67.2,-1.4
199809,73.0,4.4
199909,68.1,-0.5
200009,67.2,-1.4
200109,66.3,-2.3
200209,71.7,3.1
200309,66.2,-2.4
200409,68.7,0.1
200509,71.5,2.9
200609,64.8,-3.8
200709,71.9,3.3
200809,71.0,2.4
200909,69.0,0.4
201009,70.0,1.4
201109,66.9,-1.7
201209,67.3,-1.3
201309,69.1,0.5
201409,68.2,-0.4
201509,70.2,1.6
201609,72.2,3.6
201709,68.3,-0.3
201809,73.1,4.5
201909,74.8,6.2
202009,68.3,-0.3
202109,68.9,0.3
