Maryland, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197604,54.9,2.8
197704,55.4,3.3
197804,51.8,-0.3
197904,51.4,-0.7
198004,53.6,1.5
198104,56.0,3.9
198204,50.0,-2.1
198304,50.3,-1.8
198404,50.8,-1.3
198504,56.7,4.6
198604,53.1,1.0
198704,51.6,-0.5
198804,51.1,-1.0
198904,51.2,-0.9
199004,53.5,1.4
199104,54.9,2.8
199204,52.2,0.1
199304,51.9,-0.2
199404,57.9,5.8
199504,52.8,0.7
199604,53.4,1.3
199704,50.4,-1.7
199804,55.1,3.0
199904,53.5,1.4
200004,52.7,0.6
200104,54.5,2.4
200204,56.6,4.5
200304,52.6,0.5
200404,54.3,2.2
200504,54.7,2.6
200604,56.3,4.2
200704,51.1,-1.0
200804,55.6,3.5
200904,54.8,2.7
201004,57.5,5.4
201104,56.7,4.6
201204,54.2,2.1
201304,54.4,2.3
201404,52.7,0.6
201504,54.0,1.9
201604,53.1,1.0
201704,59.5,7.4
201804,50.7,-1.4
201904,57.8,5.7
202004,51.6,-0.5
202104,55.0,2.9
