Georgia, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197606,74.4,-3.0
197706,78.9,1.5
197806,78.0,0.6
197906,74.8,-2.6
198006,77.2,-0.2
198106,80.5,3.1
198206,77.2,-0.2
198306,74.7,-2.7
198406,77.2,-0.2
198506,77.8,0.4
198606,79.7,2.3
198706,77.4,0.0
198806,76.4,-1.0
198906,77.0,-0.4
199006,78.2,0.8
199106,76.4,-1.0
199206,75.2,-2.2
199306,78.1,0.7
199406,77.6,0.2
199506,75.4,-2.0
199606,76.7,-0.7
199706,73.5,-3.9
199806,80.9,3.5
199906,76.3,-1.1
200006,78.0,0.6
200106,76.4,-1.0
200206,77.4,0.0
200306,76.1,-1.3
200406,78.1,0.7
200506,76.6,-0.8
200606,77.4,0.0
200706,77.7,0.3
200806,79.4,2.0
200906,79.8,2.4
201006,81.0,3.6
201106,81.1,3.7
201206,75.6,-1.8
201306,77.8,0.4
201406,78.3,0.9
201506,79.3,1.9
201606,79.7,2.3
201706,76.6,-0.8
201806,79.3,1.9
201906,78.1,0.7
202006,76.9,-0.5
202106,77.0,-0.4
