South Carolina, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197607,78.7,-1.2
197707,82.2,2.3
197807,80.0,0.1
197907,78.2,-1.7
198007,82.0,2.1
198107,80.8,0.9
198207,79.6,-0.3
198307,81.3,1.4
198407,77.8,-2.1
198507,78.9,-1.0
198607,84.1,4.2
198707,81.2,1.3
198807,79.7,-0.2
198907,79.2,-0.7
199007,81.2,1.3
199107,81.2,1.3
199207,81.4,1.5
199307,84.2,4.3
199407,79.3,-0.6
199507,81.1,1.2
199607,80.4,0.5
199707,80.3,0.4
199807,82.3,2.4
199907,80.9,1.0
200007,79.8,-0.1
200107,78.4,-1.5
200207,81.9,2.0
200307,79.0,-0.9
200407,80.3,0.4
200507,81.6,1.7
200607,80.5,0.6
200707,78.5,-1.4
200807,79.8,-0.1
200907,78.9,-1.0
201007,82.3,2.4
201107,82.8,2.9
201207,82.8,2.9
201307,78.8,-1.1
201407,79.2,-0.7
201507,82.2,2.3
201607,83.7,3.8
201707,81.0,1.1
201807,80.2,0.3
201907,81.4,1.5
202007,81.9,2.0
202107,79.4,-0.5
