Illinois, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197607,75.3,-0.3
197707,77.6,2.0
197807,75.1,-0.5
197907,73.7,-1.9
198007,78.8,3.2
198107,74.8,-0.8
198207,75.5,-0.1
198307,79.1,3.5
198407,73.3,-2.3
198507,74.3,-1.3
198607,77.7,2.1
198707,77.3,1.7
198807,77.5,1.9
198907,75.5,-0.1
199007,74.2,-1.4
199107,76.3,0.7
199207,73.2,-2.4
199307,76.6,1.0
199407,73.8,-1.8
199507,76.4,0.8
199607,72.6,-3.0
199707,75.1,-0.5
199807,75.4,-0.2
199907,78.6,3.0
200007,73.2,-2.4
200107,75.9,0.3
200207,78.2,2.6
200307,74.8,-0.8
200407,72.8,-2.8
200507,76.3,0.7
200607,77.1,1.5
200707,73.3,-2.3
200807,74.5,-1.1
200907,70.3,-5.3
201007,77.6,2.0
201107,79.9,4.3
201207,81.8,6.2
201307,73.1,-2.5
201407,70.3,-5.3
201507,74.2,-1.4
201607,75.6,0.0
201707,76.1,0.5
201807,75.0,-0.6
201907,77.4,1.8
202007,77.3,1.7
202107,74.6,-1.0
