Oklahoma, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197603,51.7,2.4
197703,52.1,2.8
197803,47.2,-2.1
197903,50.2,0.9
198003,46.6,-2.7
198103,50.6,1.3
198203,51.3,2.0
198303,47.4,-1.9
198403,46.5,-2.8
198503,52.8,3.5
198603,54.2,4.9
198703,48.8,-0.5
198803,48.3,-1.0
198903,50.2,0.9
199003,50.7,1.4
199103,52.7,3.4
199203,52.9,3.6
199303,47.6,-1.7
199403,51.9,2.6
199503,50.0,0.7
199603,45.0,-4.3
199703,52.2,2.9
199803,46.3,-3.0
199903,48.7,-0.6
200003,52.8,3.5
200103,46.7,-2.6
200203,46.8,-2.5
200303,49.7,0.4
200403,55.1,5.8
200503,50.3,1.0
200603,53.3,4.0
200703,58.3,9.0
200803,50.8,1.5
200903,52.1,2.8
201003,49.0,-0.3
201103,52.4,3.1
201203,59.6,10.3
201303,47.5,-1.8
201403,46.3,-3.0
201503,51.1,1.8
201603,54.7,5.4
201703,56.2,6.9
201803,53.0,3.7
201903,47.3,-2.0
202003,55.5,6.2
202103,53.9,4.6
202203,50.5,1.2
