Massachusetts, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197609,58.8,-1.6
197709,60.2,-0.2
197809,57.3,-3.1
197909,59.8,-0.6
198009,61.7,1.3
198109,59.2,-1.2
198209,60.6,0.2
198309,63.7,3.3
198409,58.2,-2.2
198509,61.4,1.0
198609,58.4,-2.0
198709,60.4,0.0
198809,59.2,-1.2
198909,61.3,0.9
199009,60.3,-0.1
199109,59.4,-1.0
199209,60.2,-0.2
199309,60.8,0.4
199409,59.8,-0.6
199509,59.1,-1.3
199609,61.1,0.7
199709,60.5,0.1
199809,63.0,2.6
199909,64.3,3.9
200009,60.2,-0.2
200109,61.9,1.5
200209,64.4,4.0
200309,62.6,2.2
200409,62.4,2.0
200509,64.8,4.4
200609,60.3,-0.1
200709,63.3,2.9
200809,62.4,2.0
200909,59.8,-0.6
201009,64.6,4.2
201109,64.9,4.5
201209,61.9,1.5
201309,60.8,0.4
201409,62.3,1.9
201509,66.2,5.8
201609,64.6,4.2
201709,65.1,4.7
201809,65.2,4.8
201909,62.0,1.6
202009,62.8,2.4
202109,64.8,4.4
