Minnesota, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197612,5.5,-7.4
197712,9.2,-3.7
197812,7.6,-5.3
197912,20.8,7.9
198012,12.9,0.0
198112,12.6,-0.3
198212,20.3,7.4
198312,-0.8,-13.7
198412,12.1,-0.8
198512,3.0,-9.9
198612,19.4,6.5
198712,20.5,7.6
198812,14.5,1.6
198912,4.8,-8.1
199012,11.3,-1.6
199112,16.7,3.8
199212,13.5,0.6
199312,15.8,2.9
199412,20.4,7.5
199512,12.3,-0.6
199612,8.8,-4.1
199712,23.9,11.0
199812,19.4,6.5
199912,21.4,8.5
200012,2.5,-10.4
200112,22.3,9.4
200212,21.2,8.3
200312,20.6,7.7
200412,16.8,3.9
200512,16.6,3.7
200612,23.8,10.9
200712,11.6,-1.3
200812,6.9,-6.0
200912,12.0,-0.9
201012,11.5,-1.4
201112,22.7,9.8
201212,16.8,3.9
201312,5.0,-7.9
201412,20.4,7.5
201512,24.8,11.9
201612,15.3,2.4
201712,13.4,0.5
201812,20.2,7.3
201912,16.6,3.7
202012,21.0,8.1
202112,18.1,5.2
