Wyoming, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197611,29.7,0.7
197711,29.4,0.4
197811,24.0,-5.0
197911,23.7,-5.3
198011,31.0,2.0
198111,34.3,5.3
198211,26.8,-2.2
198311,28.5,-0.5
198411,30.2,1.2
198511,19.1,-9.9
198611,28.3,-0.7
198711,31.5,2.5
198811,29.1,0.1
198911,32.3,3.3
199011,32.5,3.5
199111,25.9,-3.1
199211,25.8,-3.2
199311,23.9,-5.1
199411,26.1,-2.9
199511,33.0,4.0
199611,29.1,0.1
199711,28.8,-0.2
199811,33.1,4.1
199911,38.8,9.8
200011,19.8,-9.2
200111,34.3,5.3
200211,29.6,0.6
200311,24.8,-4.2
200411,31.0,2.0
200511,32.9,3.9
200611,31.6,2.6
200711,33.1,4.1
200811,35.3,6.3
200911,33.9,4.9
201011,28.5,-0.5
201111,28.8,-0.2
201211,35.0,6.0
201311,31.3,2.3
201411,27.4,-1.6
201511,29.2,0.2
201611,37.1,8.1
201711,34.7,5.7
201811,28.6,-0.4
201911,30.2,1.2
202011,33.1,4.1
202111,36.6,7.6
