Missouri, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197605,60.0,-4.2
197705,69.0,4.8
197805,62.9,-1.3
197905,63.3,-0.9
198005,64.4,0.2
198105,60.2,-4.0
198205,67.2,3.0
198305,61.0,-3.2
198405,61.1,-3.1
198505,65.4,1.2
198605,65.8,1.6
198705,69.8,5.6
198805,66.2,2.0
198905,62.2,-2.0
199005,60.7,-3.5
199105,69.1,4.9
199205,62.3,-1.9
199305,63.4,-0.8
199405,62.3,-1.9
199505,60.9,-3.3
199605,65.7,1.5
199705,59.8,-4.4
199805,69.2,5.0
199905,63.8,-0.4
200005,67.2,3.0
200105,65.9,1.7
200205,61.4,-2.8
200305,63.5,-0.7
200405,67.0,2.8
200505,63.2,-1.0
200605,64.6,0.4
200705,68.3,4.1
200805,62.4,-1.8
200905,63.8,-0.4
201005,64.5,0.3
201105,62.8,-1.4
201205,69.5,5.3
201305,63.4,-0.8
201405,65.3,1.1
201505,64.8,0.6
201605,62.7,-1.5
201705,64.1,-0.1
201805,72.5,8.3
201905,64.5,0.3
202005,62.0,-2.2
202105,62.3,-1.9
