Maine, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197611,29.5,-2.8
197711,35.6,3.3
197811,30.6,-1.7
197911,37.5,5.2
198011,30.7,-1.6
198111,33.6,1.3
198211,35.8,3.5
198311,34.4,2.1
198411,34.3,2.0
198511,32.0,-0.3
198611,29.2,-3.1
198711,31.4,-0.9
198811,35.5,3.2
198911,30.4,-1.9
199011,34.4,2.1
199111,34.6,2.3
199211,31.3,-1.0
199311,32.7,0.4
199411,36.4,4.1
199511,30.6,-1.7
199611,30.8,-1.5
199711,31.3,-1.0
199811,33.7,1.4
199911,37.3,5.0
200011,35.6,3.3
200111,37.4,5.1
200211,30.7,-1.6
200311,35.4,3.1
200411,33.2,0.9
200511,35.3,3.0
200611,38.9,6.6
200711,31.7,-0.6
200811,35.0,2.7
200911,38.5,6.2
201011,34.5,2.2
201111,38.8,6.5
201211,32.7,0.4
201311,32.3,0.0
201411,31.8,-0.5
201511,37.0,4.7
201611,37.2,4.9
201711,32.4,0.1
201811,28.6,-3.7
201911,29.6,-2.7
202011,37.0,4.7
202111,35.4,3.1
