Delaware, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197607,74.2,-1.3
197707,76.7,1.2
197807,73.5,-2.0
197907,74.0,-1.5
198007,77.1,1.6
198107,75.8,0.3
198207,75.8,0.3
198307,77.0,1.5
198407,74.0,-1.5
198507,75.4,-0.1
198607,77.4,1.9
198707,78.6,3.1
198807,78.3,2.8
198907,75.2,-0.3
199007,77.0,1.5
199107,77.1,1.6
199207,75.8,0.3
199307,78.7,3.2
199407,78.3,2.8
199507,78.2,2.7
199607,74.2,-1.3
199707,76.1,0.6
199807,76.0,0.5
199907,79.2,3.7
200007,72.8,-2.7
200107,72.9,-2.6
200207,78.0,2.5
200307,76.3,0.8
200407,76.1,0.6
200507,77.9,2.4
200607,78.3,2.8
200707,76.1,0.6
200807,77.4,1.9
200907,74.5,-1.0
201007,79.9,4.4
201107,80.6,5.1
201207,80.9,5.4
201307,79.2,3.7
201407,75.8,0.3
201507,76.9,1.4
201607,79.6,4.1
201707,78.4,2.9
201807,77.2,1.7
201907,79.8,4.3
202007,80.7,5.2
202107,77.6,2.1
