Kentucky, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197604,55.2,0.0
197704,58.8,3.6
197804,56.8,1.6
197904,54.3,-0.9
198004,53.1,-2.1
198104,60.3,5.1
198204,51.0,-4.2
198304,50.3,-4.9
198404,53.6,-1.6
198504,58.9,3.7
198604,57.7,2.5
198704,53.4,-1.8
198804,54.8,-0.4
198904,54.5,-0.7
199004,53.9,-1.3
199104,58.8,3.6
199204,55.6,0.4
199304,53.1,-2.1
199404,58.0,2.8
199504,56.1,0.9
199604,52.5,-2.7
199704,50.2,-5.0
199804,54.5,-0.7
199904,58.4,3.2
200004,53.9,-1.3
200104,59.9,4.7
200204,58.6,3.4
200304,57.7,2.5
200404,55.8,0.6
200504,57.0,1.8
200604,60.3,5.1
200704,53.5,-1.7
200804,55.4,0.2
200904,55.8,0.6
201004,59.9,4.7
201104,58.8,3.6
201204,57.3,2.1
201304,55.2,0.0
201404,57.4,2.2
201504,57.4,2.2
201604,57.3,2.1
201704,61.5,6.3
201804,50.7,-4.5
201904,57.8,2.6
202004,52.8,-2.4
202104,54.5,-0.7
