California, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197603,47.3,-1.5
197703,45.3,-3.5
197803,52.6,3.8
197903,49.2,0.4
198003,47.3,-1.5
198103,48.7,-0.1
198203,46.8,-2.0
198303,48.6,-0.2
198403,52.0,3.2
198503,46.4,-2.4
198603,53.6,4.8
198703,48.6,-0.2
198803,51.6,2.8
198903,51.8,3.0
199003,51.4,2.6
199103,44.8,-4.0
199203,50.8,2.0
199303,52.9,4.1
199403,52.9,4.1
199503,48.9,0.1
199603,51.5,2.7
199703,54.0,5.2
199803,49.2,0.4
199903,47.5,-1.3
200003,50.2,1.4
200103,52.6,3.8
200203,48.5,-0.3
200303,51.4,2.6
200403,56.9,8.1
200503,51.1,2.3
200603,44.0,-4.8
200703,54.4,5.6
200803,50.3,1.5
200903,49.2,0.4
201003,49.0,0.2
201103,48.7,-0.1
201203,48.8,0.0
201303,53.8,5.0
201403,53.5,4.7
201503,56.9,8.1
201603,52.5,3.7
201703,53.4,4.6
201803,49.0,0.2
201903,48.9,0.1
202003,48.0,-0.8
202103,48.2,-0.6
202203,53.1,4.3
