Oklahoma, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197609,71.0,-2.1
197709,76.0,2.9
197809,76.8,3.7
197909,72.0,-1.1
198009,76.2,3.1
198109,73.0,-0.1
198209,73.2,0.1
198309,74.6,1.5
198409,71.1,-2.0
198509,73.2,0.1
198609,73.9,0.8
198709,70.9,-2.2
198809,72.3,-0.8
198909,68.1,-5.0
199009,75.5,2.4
199109,70.2,-2.9
199209,71.4,-1.7
199309,69.6,-3.5
199409,70.9,-2.2
199509,70.6,-2.5
199609,69.1,-4.0
199709,74.0,0.9
199809,79.6,6.5
199909,70.3,-2.8
200009,75.3,2.2
200109,70.9,-2.2
200209,74.0,0.9
200309,69.0,-4.1
200409,73.6,0.5
200509,76.4,3.3
200609,69.3,-3.8
200709,74.1,1.0
200809,70.1,-3.0
200909,70.1,-3.0
201009,75.0,1.9
201109,71.1,-2.0
201209,74.4,1.3
201309,75.8,2.7
201409,73.3,0.2
201509,76.6,3.5
201609,75.3,2.2
201709,73.3,0.2
201809,73.9,0.8
201909,79.7,6.6
202009,70.3,-2.8
202109,76.8,3.7
