Wyoming, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197607,67.1,1.8
197707,65.8,0.5
197807,64.5,-0.8
197907,65.6,0.3
198007,66.8,1.5
198107,65.9,0.6
198207,64.3,-1.0
198307,65.4,0.1
198407,66.2,0.9
198507,67.1,1.8
198607,63.2,-2.1
198707,64.4,-0.9
198807,68.4,3.1
198907,68.6,3.3
199007,64.9,-0.4
199107,65.6,0.3
199207,60.8,-4.5
199307,58.9,-6.4
199407,65.1,-0.2
199507,63.5,-1.8
199607,66.2,0.9
199707,64.2,-1.1
199807,68.0,2.7
199907,66.0,0.7
200007,68.2,2.9
200107,68.6,3.3
200207,69.8,4.5
200307,70.2,4.9
200407,64.6,-0.7
200507,68.0,2.7
200607,70.1,4.8
200707,70.7,5.4
200807,67.0,1.7
200907,63.6,-1.7
201007,65.1,-0.2
201107,67.3,2.0
201207,70.0,4.7
201307,67.8,2.5
201407,66.4,1.1
201507,63.9,-1.4
201607,66.8,1.5
201707,68.9,3.6
201807,67.3,2.0
201907,66.0,0.7
202007,66.6,1.3
202107,70.1,4.8
