New Mexico, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197607,70.9,-1.8
197707,73.1,0.4
197807,74.6,1.9
197907,73.0,0.3
198007,76.2,3.5
198107,73.4,0.7
198207,73.0,0.3
198307,73.0,0.3
198407,72.3,-0.4
198507,72.5,-0.2
198607,71.2,-1.5
198707,71.8,-0.9
198807,71.8,-0.9
198907,73.2,0.5
199007,71.2,-1.5
199107,70.6,-2.1
199207,71.5,-1.2
199307,73.6,0.9
199407,74.5,1.8
199507,72.6,-0.1
199607,73.8,1.1
199707,72.9,0.2
199807,74.3,1.6
199907,72.4,-0.3
200007,74.6,1.9
200107,75.2,2.5
200207,73.8,1.1
200307,76.8,4.1
200407,72.3,-0.4
200507,75.0,2.3
200607,74.6,1.9
200707,73.3,0.6
200807,72.0,-0.7
200907,74.8,2.1
201007,73.4,0.7
201107,76.6,3.9
201207,74.4,1.7
201307,73.0,0.3
201407,74.2,1.5
201507,73.1,0.4
201607,76.9,4.2
201707,74.6,1.9
201807,75.1,2.4
201907,75.5,2.8
202007,76.6,3.9
202107,73.3,0.6
