Arizona, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197612,41.3,-0.2
197712,46.8,5.3
197812,37.6,-3.9
197912,43.8,2.3
198012,47.7,6.2
198112,45.2,3.7
198212,40.8,-0.7
198312,44.1,2.6
198412,41.5,0.0
198512,43.0,1.5
198612,42.1,0.6
198712,39.1,-2.4
198812,41.0,-0.5
198912,42.4,0.9
199012,37.4,-4.1
199112,41.8,0.3
199212,38.4,-3.1
199312,41.9,0.4
199412,43.2,1.7
199512,44.7,3.2
199612,44.2,2.7
199712,39.4,-2.1
199812,42.7,1.2
199912,42.0,0.5
200012,44.7,3.2
200112,40.2,-1.3
200212,41.0,-0.5
200312,43.0,1.5
200412,42.8,1.3
200512,43.9,2.4
200612,41.8,0.3
200712,39.9,-1.6
200812,42.4,0.9
200912,39.0,-2.5
201012,46.7,5.2
201112,39.9,-1.6
201212,42.4,0.9
201312,41.5,0.0
201412,44.3,2.8
201512,40.9,-0.6
201612,44.7,3.2
201712,46.6,5.1
201812,42.8,1.3
201912,42.2,0.7
202012,42.0,0.5
202112,45.4,3.9
