Kansas, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197609,68.0,-0.6
197709,70.0,1.4
197809,72.2,3.6
197909,69.9,1.3
198009,70.9,2.3
198109,68.9,0.3
198209,68.4,-0.2
198309,71.1,2.5
198409,66.8,-1.8
198509,66.6,-2.0
198609,70.4,1.8
198709,67.5,-1.1
198809,68.5,-0.1
198909,64.5,-4.1
199009,71.9,3.3
199109,68.3,-0.3
199209,67.9,-0.7
199309,63.5,-5.1
199409,68.0,-0.6
199509,66.2,-2.4
199609,65.0,-3.6
199709,69.9,1.3
199809,74.4,5.8
199909,65.4,-3.2
200009,71.1,2.5
200109,67.9,-0.7
200209,70.4,1.8
200309,65.1,-3.5
200409,70.8,2.2
200509,72.2,3.6
200609,64.4,-4.2
200709,70.5,1.9
200809,66.4,-2.2
200909,65.3,-3.3
201009,70.8,2.2
201109,66.2,-2.4
201209,68.2,-0.4
201309,72.1,3.5
201409,68.2,-0.4
201509,74.2,5.6
201609,70.8,2.2
201709,70.5,1.9
201809,70.1,1.5
201909,75.2,6.6
202009,66.3,-2.3
202109,73.3,4.7
