Illinois, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197604,54.1,2.6
197704,57.6,6.1
197804,52.7,1.2
197904,49.1,-2.4
198004,50.1,-1.4
198104,57.3,5.8
198204,47.0,-4.5
198304,46.8,-4.7
198404,50.0,-1.5
198504,56.7,5.2
198604,55.9,4.4
198704,53.2,1.7
198804,52.0,0.5
198904,51.4,-0.1
199004,50.8,-0.7
199104,56.0,4.5
199204,51.0,-0.5
199304,49.2,-2.3
199404,53.2,1.7
199504,50.1,-1.4
199604,48.6,-2.9
199704,47.6,-3.9
199804,52.6,1.1
199904,54.3,2.8
200004,51.5,0.0
200104,57.6,6.1
200204,53.5,2.0
200304,53.5,2.0
200404,54.1,2.6
200504,55.4,3.9
200604,57.0,5.5
200704,50.2,-1.3
200804,51.4,-0.1
200904,51.4,-0.1
201004,58.7,7.2
201104,53.1,1.6
201204,54.6,3.1
201304,50.2,-1.3
201404,52.4,0.9
201504,54.3,2.8
201604,53.0,1.5
201704,56.5,5.0
201804,44.8,-6.7
201904,52.5,1.0
202004,49.6,-1.9
202104,52.6,1.1
