Montana, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197602,28.2,6.9
197702,30.8,9.5
197802,16.3,-5.0
197902,14.4,-6.9
198002,23.7,2.4
198102,26.5,5.2
198202,18.3,-3.0
198302,30.9,9.6
198402,31.3,10.0
198502,17.1,-4.2
198602,19.3,-2.0
198702,29.8,8.5
198802,24.4,3.1
198902,9.4,-11.9
199002,23.8,2.5
199102,33.9,12.6
199202,32.3,11.0
199302,15.1,-6.2
199402,15.2,-6.1
199502,27.8,6.5
199602,23.1,1.8
199702,26.0,4.7
199802,30.4,9.1
199902,30.2,8.9
200002,26.9,5.6
200102,16.5,-4.8
200202,26.4,5.1
200302,21.4,0.1
200402,24.1,2.8
200502,28.9,7.6
200602,23.4,2.1
200702,22.0,0.7
200802,24.2,2.9
200902,25.1,3.8
201002,21.1,-0.2
201102,16.4,-4.9
201202,24.9,3.6
201302,27.4,6.1
201402,14.7,-6.6
201502,26.9,5.6
201602,33.6,12.3
201702,25.4,4.1
201802,11.4,-9.9
201902,5.1,-16.2
202002,25.6,4.3
202102,13.8,-7.5
202202,22.4,1.1
