Virginia, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197604,55.6,1.6
197704,57.2,3.2
197804,54.3,0.3
197904,54.4,0.4
198004,54.8,0.8
198104,57.9,3.9
198204,51.5,-2.5
198304,50.8,-3.2
198404,51.8,-2.2
198504,58.2,4.2
198604,56.0,2.0
198704,51.4,-2.6
198804,53.2,-0.8
198904,52.6,-1.4
199004,54.2,0.2
199104,56.4,2.4
199204,54.1,0.1
199304,52.8,-1.2
199404,58.6,4.6
199504,54.6,0.6
199604,54.4,0.4
199704,50.8,-3.2
199804,55.6,1.6
199904,56.1,2.1
200004,53.9,-0.1
200104,56.6,2.6
200204,57.7,3.7
200304,54.7,0.7
200404,55.4,1.4
200504,55.0,1.0
200604,58.0,4.0
200704,53.4,-0.6
200804,55.9,1.9
200904,55.4,1.4
201004,58.6,4.6
201104,58.2,4.2
201204,55.6,1.6
201304,56.0,2.0
201404,55.0,1.0
201504,55.9,1.9
201604,55.1,1.1
201704,60.6,6.6
201804,52.2,-1.8
201904,58.1,4.1
202004,53.3,-0.7
202104,55.3,1.3
