North Dakota, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197606,65.6,2.7
197706,65.2,2.3
197806,63.1,0.2
197906,63.6,0.7
198006,64.6,1.7
198106,60.9,-2.0
198206,59.4,-3.5
198306,62.8,-0.1
198406,63.2,0.3
198506,58.4,-4.5
198606,65.8,2.9
198706,67.5,4.6
198806,74.1,11.2
198906,62.3,-0.6
199006,64.3,1.4
199106,66.2,3.3
199206,61.4,-1.5
199306,58.8,-4.1
199406,63.9,1.0
199506,66.3,3.4
199606,65.1,2.2
199706,67.2,4.3
199806,59.8,-3.1
199906,62.6,-0.3
200006,60.4,-2.5
200106,62.7,-0.2
200206,65.6,2.7
200306,62.0,-0.9
200406,59.1,-3.8
200506,64.9,2.0
200606,65.3,2.4
200706,65.3,2.4
200806,60.8,-2.1
200906,60.7,-2.2
201006,63.1,0.2
201106,62.4,-0.5
201206,65.5,2.6
201306,63.3,0.4
201406,62.5,-0.4
201506,65.1,2.2
201606,66.0,3.1
201706,64.8,1.9
201806,67.4,4.5
201906,64.0,1.1
202006,66.9,4.0
202106,69.3,6.4
