Michigan, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197612,14.8,-8.5
197712,21.8,-1.5
197812,22.0,-1.3
197912,27.8,4.5
198012,20.2,-3.1
198112,24.7,1.4
198212,31.2,7.9
198312,15.7,-7.6
198412,27.1,3.8
198512,17.7,-5.6
198612,26.8,3.5
198712,28.9,5.6
198812,23.7,0.4
198912,13.4,-9.9
199012,25.9,2.6
199112,25.9,2.6
199212,26.6,3.3
199312,25.1,1.8
199412,30.3,7.0
199512,20.2,-3.1
199612,25.6,2.3
199712,29.0,5.7
199812,29.8,6.5
199912,26.9,3.6
200012,15.9,-7.4
200112,31.9,8.6
200212,26.0,2.7
200312,28.6,5.3
200412,23.5,0.2
200512,23.1,-0.2
200612,31.5,8.2
200712,24.1,0.8
200812,20.8,-2.5
200912,23.6,0.3
201012,22.8,-0.5
201112,29.9,6.6
201212,30.4,7.1
201312,19.3,-4.0
201412,28.2,4.9
201512,35.6,12.3
201612,25.0,1.7
201712,20.9,-2.4
201812,28.7,5.4
201912,28.4,5.1
202012,28.6,5.3
202112,30.1,6.8
