Maine, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197604,40.5,2.2
197704,37.9,-0.4
197804,36.2,-2.1
197904,39.7,1.4
198004,40.8,2.5
198104,41.0,2.7
198204,36.3,-2.0
198304,40.7,2.4
198404,39.9,1.6
198504,38.0,-0.3
198604,43.3,5.0
198704,43.4,5.1
198804,39.6,1.3
198904,36.9,-1.4
199004,39.9,1.6
199104,40.9,2.6
199204,36.9,-1.4
199304,39.8,1.5
199404,38.5,0.2
199504,35.8,-2.5
199604,39.1,0.8
199704,36.8,-1.5
199804,41.4,3.1
199904,40.4,2.1
200004,39.1,0.8
200104,38.1,-0.2
200204,39.9,1.6
200304,35.7,-2.6
200404,39.6,1.3
200504,41.1,2.8
200604,42.3,4.0
200704,37.0,-1.3
200804,41.5,3.2
200904,41.9,3.6
201004,44.9,6.6
201104,39.0,0.7
201204,42.2,3.9
201304,39.1,0.8
201404,38.7,0.4
201504,37.8,-0.5
201604,37.3,-1.0
201704,42.0,3.7
201804,36.5,-1.8
201904,38.8,0.5
202004,37.7,-0.6
202104,43.2,4.9
