Iowa, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197609,62.4,-0.6
197709,63.7,0.7
197809,67.5,4.5
197909,64.2,1.2
198009,64.3,1.3
198109,62.7,-0.3
198209,61.8,-1.2
198309,64.2,1.2
198409,61.1,-1.9
198509,62.7,-0.3
198609,64.7,1.7
198709,62.8,-0.2
198809,64.7,1.7
198909,60.5,-2.5
199009,66.2,3.2
199109,62.4,-0.6
199209,60.8,-2.2
199309,57.4,-5.6
199409,64.3,1.3
199509,60.2,-2.8
199609,60.7,-2.3
199709,64.2,1.2
199809,68.2,5.2
199909,61.3,-1.7
200009,64.6,1.6
200109,61.2,-1.8
200209,65.3,2.3
200309,61.1,-1.9
200409,66.4,3.4
200509,67.6,4.6
200609,60.0,-3.0
200709,64.7,1.7
200809,63.5,0.5
200909,63.3,0.3
201009,63.1,0.1
201109,60.2,-2.8
201209,62.1,-0.9
201309,67.0,4.0
201409,62.0,-1.0
201509,68.4,5.4
201609,67.3,4.3
201709,66.7,3.7
201809,65.9,2.9
201909,68.2,5.2
202009,61.9,-1.1
202109,66.6,3.6
